household_type_id,ami_percentile,age_group,year,total_hh
More than one adult with children,10,Under 18,2000,NA
More than one adult with children,10,Under 18,2001,NA
More than one adult with children,10,Under 18,2002,NA
More than one adult with children,10,Under 18,2003,NA
More than one adult with children,10,Under 18,2004,NA
More than one adult with children,10,Under 18,2005,NA
More than one adult with children,10,Under 18,2006,NA
More than one adult with children,10,Under 18,2007,NA
More than one adult with children,10,Under 18,2008,NA
More than one adult with children,10,Under 18,2009,NA
More than one adult with children,10,Under 18,2010,67
More than one adult with children,10,Under 18,2011,NA
More than one adult with children,10,Under 18,2012,NA
More than one adult with children,10,Under 18,2013,NA
More than one adult with children,10,Under 18,2014,NA
More than one adult with children,10,Under 18,2015,NA
More than one adult with children,10,Under 18,2016,NA
More than one adult with children,10,Under 18,2017,NA
More than one adult with children,10,Under 18,2018,NA
More than one adult with children,10,Under 18,2019,NA
More than one adult with children,10,Under 18,2021,NA
More than one adult with children,10,Under 18,2022,NA
More than one adult with children,10,Under 18,2023,NA
More than one adult with children,10,18-24,2000,689
More than one adult with children,10,18-24,2001,183
More than one adult with children,10,18-24,2002,1424
More than one adult with children,10,18-24,2003,1190
More than one adult with children,10,18-24,2004,1749
More than one adult with children,10,18-24,2005,283
More than one adult with children,10,18-24,2006,293
More than one adult with children,10,18-24,2007,829
More than one adult with children,10,18-24,2008,533
More than one adult with children,10,18-24,2009,81
More than one adult with children,10,18-24,2010,1064
More than one adult with children,10,18-24,2011,531
More than one adult with children,10,18-24,2012,511
More than one adult with children,10,18-24,2013,170
More than one adult with children,10,18-24,2014,21
More than one adult with children,10,18-24,2015,506
More than one adult with children,10,18-24,2016,147
More than one adult with children,10,18-24,2017,NA
More than one adult with children,10,18-24,2018,61
More than one adult with children,10,18-24,2019,264
More than one adult with children,10,18-24,2021,802
More than one adult with children,10,18-24,2022,97
More than one adult with children,10,18-24,2023,277
More than one adult with children,10,25-44,2000,2370
More than one adult with children,10,25-44,2001,3163
More than one adult with children,10,25-44,2002,3296
More than one adult with children,10,25-44,2003,2725
More than one adult with children,10,25-44,2004,1041
More than one adult with children,10,25-44,2005,2439
More than one adult with children,10,25-44,2006,3173
More than one adult with children,10,25-44,2007,2831
More than one adult with children,10,25-44,2008,1876
More than one adult with children,10,25-44,2009,2551
More than one adult with children,10,25-44,2010,2576
More than one adult with children,10,25-44,2011,2697
More than one adult with children,10,25-44,2012,3309
More than one adult with children,10,25-44,2013,2252
More than one adult with children,10,25-44,2014,3431
More than one adult with children,10,25-44,2015,3480
More than one adult with children,10,25-44,2016,3059
More than one adult with children,10,25-44,2017,2501
More than one adult with children,10,25-44,2018,2910
More than one adult with children,10,25-44,2019,2294
More than one adult with children,10,25-44,2021,4062
More than one adult with children,10,25-44,2022,3295
More than one adult with children,10,25-44,2023,3637
More than one adult with children,10,45-64,2000,924
More than one adult with children,10,45-64,2001,416
More than one adult with children,10,45-64,2002,1050
More than one adult with children,10,45-64,2003,763
More than one adult with children,10,45-64,2004,1667
More than one adult with children,10,45-64,2005,1559
More than one adult with children,10,45-64,2006,952
More than one adult with children,10,45-64,2007,832
More than one adult with children,10,45-64,2008,305
More than one adult with children,10,45-64,2009,550
More than one adult with children,10,45-64,2010,1115
More than one adult with children,10,45-64,2011,822
More than one adult with children,10,45-64,2012,1116
More than one adult with children,10,45-64,2013,685
More than one adult with children,10,45-64,2014,1170
More than one adult with children,10,45-64,2015,646
More than one adult with children,10,45-64,2016,628
More than one adult with children,10,45-64,2017,1283
More than one adult with children,10,45-64,2018,1011
More than one adult with children,10,45-64,2019,1272
More than one adult with children,10,45-64,2021,2802
More than one adult with children,10,45-64,2022,1596
More than one adult with children,10,45-64,2023,1579
More than one adult with children,10,65 and over,2000,51
More than one adult with children,10,65 and over,2001,NA
More than one adult with children,10,65 and over,2002,NA
More than one adult with children,10,65 and over,2003,NA
More than one adult with children,10,65 and over,2004,1020
More than one adult with children,10,65 and over,2005,NA
More than one adult with children,10,65 and over,2006,62
More than one adult with children,10,65 and over,2007,574
More than one adult with children,10,65 and over,2008,73
More than one adult with children,10,65 and over,2009,40
More than one adult with children,10,65 and over,2010,NA
More than one adult with children,10,65 and over,2011,NA
More than one adult with children,10,65 and over,2012,NA
More than one adult with children,10,65 and over,2013,110
More than one adult with children,10,65 and over,2014,NA
More than one adult with children,10,65 and over,2015,NA
More than one adult with children,10,65 and over,2016,71
More than one adult with children,10,65 and over,2017,302
More than one adult with children,10,65 and over,2018,141
More than one adult with children,10,65 and over,2019,136
More than one adult with children,10,65 and over,2021,444
More than one adult with children,10,65 and over,2022,307
More than one adult with children,10,65 and over,2023,168
More than one adult with no children,10,Under 18,2000,66
More than one adult with no children,10,Under 18,2001,NA
More than one adult with no children,10,Under 18,2002,NA
More than one adult with no children,10,Under 18,2003,NA
More than one adult with no children,10,Under 18,2004,NA
More than one adult with no children,10,Under 18,2005,NA
More than one adult with no children,10,Under 18,2006,NA
More than one adult with no children,10,Under 18,2007,NA
More than one adult with no children,10,Under 18,2008,49
More than one adult with no children,10,Under 18,2009,NA
More than one adult with no children,10,Under 18,2010,NA
More than one adult with no children,10,Under 18,2011,80
More than one adult with no children,10,Under 18,2012,NA
More than one adult with no children,10,Under 18,2013,NA
More than one adult with no children,10,Under 18,2014,56
More than one adult with no children,10,Under 18,2015,NA
More than one adult with no children,10,Under 18,2016,NA
More than one adult with no children,10,Under 18,2017,NA
More than one adult with no children,10,Under 18,2018,NA
More than one adult with no children,10,Under 18,2019,91
More than one adult with no children,10,Under 18,2021,NA
More than one adult with no children,10,Under 18,2022,NA
More than one adult with no children,10,Under 18,2023,NA
More than one adult with no children,10,18-24,2000,1266
More than one adult with no children,10,18-24,2001,1723
More than one adult with no children,10,18-24,2002,1507
More than one adult with no children,10,18-24,2003,3088
More than one adult with no children,10,18-24,2004,1415
More than one adult with no children,10,18-24,2005,2134
More than one adult with no children,10,18-24,2006,1831
More than one adult with no children,10,18-24,2007,1415
More than one adult with no children,10,18-24,2008,1924
More than one adult with no children,10,18-24,2009,1449
More than one adult with no children,10,18-24,2010,2532
More than one adult with no children,10,18-24,2011,3871
More than one adult with no children,10,18-24,2012,2197
More than one adult with no children,10,18-24,2013,3307
More than one adult with no children,10,18-24,2014,3752
More than one adult with no children,10,18-24,2015,2203
More than one adult with no children,10,18-24,2016,1561
More than one adult with no children,10,18-24,2017,2274
More than one adult with no children,10,18-24,2018,3009
More than one adult with no children,10,18-24,2019,3473
More than one adult with no children,10,18-24,2021,2829
More than one adult with no children,10,18-24,2022,3748
More than one adult with no children,10,18-24,2023,4375
More than one adult with no children,10,25-44,2000,798
More than one adult with no children,10,25-44,2001,1529
More than one adult with no children,10,25-44,2002,1921
More than one adult with no children,10,25-44,2003,861
More than one adult with no children,10,25-44,2004,2970
More than one adult with no children,10,25-44,2005,1120
More than one adult with no children,10,25-44,2006,700
More than one adult with no children,10,25-44,2007,679
More than one adult with no children,10,25-44,2008,967
More than one adult with no children,10,25-44,2009,532
More than one adult with no children,10,25-44,2010,1320
More than one adult with no children,10,25-44,2011,1122
More than one adult with no children,10,25-44,2012,954
More than one adult with no children,10,25-44,2013,555
More than one adult with no children,10,25-44,2014,2249
More than one adult with no children,10,25-44,2015,1180
More than one adult with no children,10,25-44,2016,1086
More than one adult with no children,10,25-44,2017,1981
More than one adult with no children,10,25-44,2018,1299
More than one adult with no children,10,25-44,2019,986
More than one adult with no children,10,25-44,2021,950
More than one adult with no children,10,25-44,2022,2660
More than one adult with no children,10,25-44,2023,1282
More than one adult with no children,10,45-64,2000,1674
More than one adult with no children,10,45-64,2001,1232
More than one adult with no children,10,45-64,2002,423
More than one adult with no children,10,45-64,2003,793
More than one adult with no children,10,45-64,2004,1871
More than one adult with no children,10,45-64,2005,2602
More than one adult with no children,10,45-64,2006,1644
More than one adult with no children,10,45-64,2007,2329
More than one adult with no children,10,45-64,2008,2453
More than one adult with no children,10,45-64,2009,2173
More than one adult with no children,10,45-64,2010,2165
More than one adult with no children,10,45-64,2011,2159
