YEAR,own_cost_q25,own_cost_q50,own_cost_q75,own_cost_q25_se,own_cost_q50_se,own_cost_q75_se,rent_cost_q25,rent_cost_q50,rent_cost_q75,rent_cost_q25_se,rent_cost_q50_se,rent_cost_q75_se
2000,6228,11796,17004,58.16310914453535,36.73459524918022,45.91824406147527,5040,7080,9360,30.61135031407457,30.61135031407457,61.22270062814914
2001,6456,12516,18096,238.72272482780753,180.572317497957,149.96683995593037,5520,7560,9960,152.96724434005293,122.37379547204233,122.37379547204233
2002,6180,13020,18612,241.7780254598073,183.62888009605618,177.50791742618765,5760,7800,10200,152.95323504049998,122.36258803239997,214.13452905669996
2003,7116,13536,19116,254.02722819618063,162.21015776382617,198.93698593676797,6000,7800,10200,91.77307443503759,91.77307443503759,122.36409924671678
2004,7560,13884,19536,269.3308456194493,162.2106229298956,192.81640084119667,5640,7440,9840,152.96274609593846,152.96274609593846,152.96274609593846
2005,7872,14700,20916,146.929105826533,128.56296759821637,149.99012886458576,5760,7680,10200,61.210092207847545,61.210092207847545,122.42018441569509
2006,8580,15840,22128,143.86824321845046,119.3800316067993,143.86824321845046,5880,7800,10320,61.21010520287123,91.81515780430685,153.02526300717807
2007,8268,16104,22560,189.78374425116763,116.31906905716727,153.05140665416747,6000,8160,10800,91.81574166765846,91.81574166765846,153.02623611276408
2008,8556,16476,23508,153.05137471342513,125.50212726500862,149.99034721915663,6360,8400,11400,91.81728159438562,91.81728159438562,122.42304212584749
2009,8256,16380,23340,165.29542743618498,131.6241366621473,153.0513217001713,6600,8760,11760,91.81789074272479,91.81789074272479,153.02981790454132
2010,8184,16080,22956,153.0512989691936,116.31898721658713,159.17335092796134,6600,8760,12000,91.81939167082268,91.81939167082268,306.0646389027423
2011,8268,15720,22416,149.99014377717376,137.74605040760855,183.66140054347807,6720,9360,12000,91.82022951165823,122.42697268221096,306.0674317055274
2012,7740,15336,22080,140.80710083146374,140.80710083146374,177.53938800488908,7200,9600,13200,91.82035665044668,91.82035665044668,306.0678555014889
2013,7296,14796,21516,143.8683295352356,134.68524467128438,131.62421638330065,7200,9960,13200,91.82007637973781,122.42676850631709,306.0669212657927
2014,7572,15084,21900,122.44121341266697,131.624304418617,143.8684257598837,7560,10440,14400,153.03408837222148,153.03408837222148,306.06817674444295
2015,7812,15288,22080,149.99066215833628,128.5634247071454,183.66203529592198,8160,11520,15600,91.82078937507283,122.42771916676378,306.0692979169095
2016,7884,15600,22572,146.9299603765223,153.05204205887742,153.05204205887742,8640,12000,16800,153.03427600204003,306.06855200408006,306.06855200408006
2017,7896,16116,23616,128.56386823648688,128.56386823648688,174.47953546380361,9000,13200,18000,153.03476966755358,306.06953933510715,306.06953933510715
2018,8064,16680,24432,125.5030298918968,146.930376458806,174.47982204483213,9600,14400,18000,153.03472335851237,306.06944671702473,306.06944671702473
2019,8556,17760,26400,137.7476485339397,168.3582370970374,156.11400167179832,10320,14400,19200,153.0345178455455,306.069035691091,306.069035691091
2020,8400,18036,26580,159.17273615637328,180.5998352543466,168.35577862693327,10560,15600,19200,183.63260269061072,306.05433781768454,306.05433781768454
2021,8844,18756,27480,137.74799261922408,159.17545813777005,174.48079065101717,11400,16800,20400,214.2486062073656,306.0694374390937,306.0694374390937
2022,9840,19680,29448,128.56503313958592,174.48111640372377,174.48111640372377,12000,18000,22800,306.070982407727,306.070982407727,306.070982407727
2023,11040,21480,32412,146.93167817381897,205.0921341176223,232.64182377521337,13200,19200,24000,306.07219638921254,306.07219638921254,306.07219638921254
2024,11820,22956,35016,153.05411510311583,220.39792574848678,238.7644195608607,14400,20400,25200,306.0727965960916,306.0727965960916,306.0727965960916
