year,region,tenure,race_eth,total_hh,total_hh_se,cost_burdened_30,cost_burdened_30_se,cost_burdened_50,cost_burdened_50_se,total_hh_ten,pct_hh_ten,pct_cost_burdened_30,pct_cost_burdened_50
2024,0,Owned or being bought (loan),American Indian or Alaska native alone,4031,764.3662213662325,927,343.82233172279325,810,338.0630849893751,7860,0.5128498727735369,0.22996774993798064,0.20094269412056562
2024,0,Owned or being bought (loan),Asian or Pacific Islander alone,50735,3022.8150873666964,13781,1527.7588788528133,6253,1075.6513505169146,78557,0.6458367809361355,0.27162708189612694,0.1232482507144969
2024,0,Owned or being bought (loan),Black or African American alone,39159,2980.0954837409336,13491,1691.2437982036033,5175,1048.3191283935785,91278,0.42900808519029776,0.34451850149390945,0.13215352792461504
2024,0,Owned or being bought (loan),Hispanic,245449,7337.619110777617,72364,3964.913025593402,28252,2477.4800010613326,441795,0.5555721545060491,0.2948229571112533,0.11510334122363505
2024,0,Owned or being bought (loan),Other,9356,1105.7544068390703,2489,518.5243210005765,1186,354.65691665452465,14120,0.6626062322946176,0.2660324925181702,0.1267635741769987
2024,0,Owned or being bought (loan),"Two or more races, Non Hispanic",62398,2925.152378105375,16295,1552.8221800604774,6526,1086.4300587795822,103377,0.6035965446859552,0.2611461905830315,0.10458668547068817
2024,0,Owned or being bought (loan),White alone,1226287,9947.066207597076,299704,6150.384144115915,128688,4195.326026754031,1742901,0.7035895899996615,0.24439955736299904,0.10494117608683774
2024,0,Rented,American Indian or Alaska native alone,3829,740.9216524160324,2046,530.1434881100586,1117,387.6103123705398,7860,0.4871501272264631,0.5343431705406111,0.29172107599895536
2024,0,Rented,Asian or Pacific Islander alone,27822,2443.947789395008,14565,1848.5053802364082,7769,1280.1480967412194,78557,0.35416321906386444,0.5235065775285745,0.27923945079433543
2024,0,Rented,Black or African American alone,52119,4021.7233789987004,25709,2855.7393123769784,13233,1881.000795059681,91278,0.5709919148097022,0.49327500527638674,0.2538997294652622
2024,0,Rented,Hispanic,196346,7143.600338586017,100961,5153.311526897398,47351,3621.0334642077464,441795,0.4444278454939508,0.5141994234667373,0.24116101168345674
2024,0,Rented,Other,4764,945.366001302488,2745,721.6887143974557,1663,602.241075395952,14120,0.33739376770538243,0.5761964735516373,0.34907640638119225
2024,0,Rented,"Two or more races, Non Hispanic",40979,2996.4808651465046,24614,2293.617963048621,12127,1625.009502470031,103377,0.3964034553140447,0.6006491129602968,0.29593206276385464
2024,0,Rented,White alone,516614,9418.610041966711,244769,6774.154760690399,117508,4854.48480914466,1742901,0.2964104100003385,0.4737947481098073,0.227458024753491
