year,ami_group,region,tenure,total_hh,total_hh_se
2005,0-30,1,Own,2393,484.902240870884
2005,0-30,1,Rent,5493,947.5445484738412
2005,0-30,2,Own,9334,1176.0892317486519
2005,0-30,2,Rent,11038,1559.399020694193
2005,0-30,3,Own,60440,3021.866507025284
2005,0-30,3,Rent,125486,5261.624612349534
2005,0-30,4,Own,3730,530.2114514847788
2005,0-30,4,Rent,4509,810.6275845000198
2005,30-50,1,Own,5045,681.6895769416263
2005,30-50,1,Rent,4877,935.5808507203648
2005,30-50,2,Own,8172,992.2794108315542
2005,30-50,2,Rent,7912,1489.6419270273416
2005,30-50,3,Own,80552,3483.5297905869224
2005,30-50,3,Rent,91974,4371.034052591259
2005,30-50,4,Own,7317,856.3490831361219
2005,30-50,4,Rent,5668,971.292550660203
2005,50-80,1,Own,10647,1162.9985282300624
2005,50-80,1,Rent,7101,1197.4074727637412
2005,50-80,2,Own,19096,1644.8049125807438
2005,50-80,2,Rent,10010,1455.6617318325725
2005,50-80,3,Own,148712,4586.762240050073
2005,50-80,3,Rent,108149,4605.976057519766
2005,50-80,4,Own,10271,994.7497608534321
2005,50-80,4,Rent,4321,799.7317765043904
2005,80-100,1,Own,9179,1138.388059868942
2005,80-100,1,Rent,3190,738.4047138734709
2005,80-100,2,Own,10938,1068.8187056762267
2005,80-100,2,Rent,4093,771.7209917848015
2005,80-100,3,Own,105786,3707.5904465104372
2005,80-100,3,Rent,54326,3303.856394716601
2005,80-100,4,Own,6894,909.2001981456574
2005,80-100,4,Rent,3938,885.3076492659303
2005,100+,1,Own,39658,2315.550837798298
2005,100+,1,Rent,6947,1144.2418514623753
2005,100+,2,Own,60062,3153.369530402915
2005,100+,2,Rent,14844,1953.7575651075158
2005,100+,3,Own,596376,8550.6830248785
2005,100+,3,Rent,98137,4496.773914475794
2005,100+,4,Own,36525,2026.2691913354138
2005,100+,4,Rent,8879,1294.4956182084436
2005,NA,2,Own,153,110.98186388365559
2005,NA,3,Own,352,159.74908566289255
2005,NA,3,Rent,400,335.0102811985082
2005,NA,4,Own,20,20.000000000000732
2006,0-30,1,Own,4161,804.7397719997276
2006,0-30,1,Rent,4487,843.5695998951888
2006,0-30,2,Own,8276,961.6497787311488
2006,0-30,2,Rent,8781,1206.7578186106352
2006,0-30,3,Own,61619,2742.303145772274
2006,0-30,3,Rent,131902,4804.186343737318
2006,0-30,4,Own,5098,707.3376193492352
2006,0-30,4,Rent,4410,698.3779394371285
2006,30-50,1,Own,5350,725.1899214883622
2006,30-50,1,Rent,3544,835.8207436424705
2006,30-50,2,Own,10566,1134.8120707497683
2006,30-50,2,Rent,7952,1275.8629275139865
2006,30-50,3,Own,77226,3128.606261982497
2006,30-50,3,Rent,91671,4105.801300111262
