year,own_0_30,rent_0_30,own_30_50,rent_30_50,own_50_80,rent_50_80,own_80_100,rent_80_100,own_100+,rent_100+,own_NA,rent_NA
2000,59769,107172,80933,88117,169060,129836,125685,63739,679751,152558,922,450
2001,71295,120729,94741,96620,182780,147701,134386,63507,689261,152051,374,409
2002,86825,133265,108048,109680,200755,132583,155472,63109,676234,137947,NA,NA
2003,91406,130548,120367,105235,186548,123388,150934,55830,732469,123359,824,410
2004,87049,156731,110613,113785,216917,140856,139121,59415,713651,110582,1268,250
2005,86726,156506,113000,112632,198820,132441,133963,62057,698618,117256,525,400
2006,80815,148890,103678,110375,195022,139967,137784,58261,751510,120245,220,167
2007,81801,149596,89273,102145,187997,126865,139846,64433,778568,138401,404,532
2008,79105,155395,93771,110425,175879,139411,133330,70324,798001,140599,1044,556
2009,80468,172054,105652,112683,191817,141705,135060,65140,766691,137209,1380,285
2010,94701,177729,112183,128477,201107,147342,136977,66404,743539,150617,1103,404
2011,93587,182821,112400,132289,207499,155414,135371,72547,726341,155985,662,482
2012,87596,182555,109908,134555,203673,153945,138959,74308,739397,169698,982,449
2013,89182,163872,107238,134016,176483,158402,136838,71640,787452,177286,342,NA
2014,78881,163952,100922,120694,182094,163829,127659,71764,816763,212823,92,118
2015,82299,149105,100521,128169,185309,163728,130673,84276,826214,223555,481,187
2016,82091,150640,98493,121460,187155,153978,124272,82320,876656,230864,291,731
2017,94347,143543,99075,113112,190284,160538,136929,84910,878848,236886,557,163
2018,93333,146042,110342,128422,197802,155877,140600,90077,878096,235243,200,592.9999999999999
2019,94876,143357,113049,112612,190867,152292,145915,98611,933430,249450,498,115
2020,102606,135310,111845,112569,214646,159532,138568,91599,906123,232311,248,NA
2021,111379,154462,118305,114912,229863,170697,147845,81928,942358,239894,1206,64
2022,130046,164553,136796,127971,238677,162483,168557,91370,913659,248703,632,964
2023,130142,177196,134626,126068,243673,184692,170954,98664,912152,248317,1402,377
2024,127679,176729,126623,119861,241205,187648,175955,103496,964726,254055,1227,684
