year,ami_group,region,tenure,total_hh,total_hh_se
2000,0-30,1,1,2928,256.21905803697064
2000,0-30,1,2,4217,327.49379335723063
2000,0-30,2,1,6140,336.36322700195626
2000,0-30,2,2,7579,379.9745096516455
2000,0-30,3,1,41429,971.6914710763591
2000,0-30,3,2,83973,1451.3103794999017
2000,0-30,4,1,4817,279.5282948529317
2000,0-30,4,2,4817,294.3740536135195
2000,30-50,1,1,4201,298.44329608549054
2000,30-50,1,2,4599,330.74451844209653
2000,30-50,2,1,8109,390.3962175839827
2000,30-50,2,2,7172,375.1116727038034
2000,30-50,3,1,61817,1197.3768475147724
2000,30-50,3,2,76349,1398.2284276049845
2000,30-50,4,1,5879,296.4203052111629
2000,30-50,4,2,4447,282.24534357288815
2000,50-80,1,1,9316,459.28996219604943
2000,50-80,1,2,5681,373.15056216419396
2000,50-80,2,1,16689,567.8666386812777
2000,50-80,2,2,8767,412.6701158337358
2000,50-80,3,1,141765,1812.5877346221894
2000,50-80,3,2,110208,1682.9148792468238
2000,50-80,4,1,10496,401.7857336112467
2000,50-80,4,2,4747,275.60353131397346
2000,80-100,1,1,7398,420.5909188735697
2000,80-100,1,2,3245,291.3513489362293
2000,80-100,2,1,11829,483.0690023744387
2000,80-100,2,2,4782,299.9528518245625
2000,80-100,3,1,109701,1607.078721380682
2000,80-100,3,2,56373,1211.3248543618588
2000,80-100,4,1,6507,320.6065881720464
2000,80-100,4,2,2864,226.2849245354326
2000,100+,1,1,35103,901.8330687413231
2000,100+,1,2,7457,443.37132344278706
2000,100+,2,1,58441,1078.2924171824136
2000,100+,2,2,13761,527.7271637706613
2000,100+,3,1,537058,3489.5950947866804
2000,100+,3,2,123740,1785.7183015319565
2000,100+,4,1,35575,768.1461685793915
2000,100+,4,2,6644,337.6481309895144
2000,NA,1,1,144,57.07860853167852
2000,NA,1,2,15,15.000000000000208
2000,NA,2,1,159,56.36451865931575
2000,NA,2,2,39,23.430710520000034
2000,NA,3,1,421,99.07920657543069
2000,NA,3,2,357,91.1086099142605
2000,NA,4,1,198,47.43344173173288
2000,NA,4,2,39,23.043397363558498
2001,0-30,NA,1,65025,4499.426275464212
2001,0-30,NA,2,112931,6938.950467780223
2001,30-50,NA,1,90464,5180.515675456328
2001,30-50,NA,2,91970,5955.035735273064
2001,50-80,NA,1,174917,7360.701052291564
2001,50-80,NA,2,148947,8263.249165558223
2001,80-100,NA,1,127807,6255.144305912546
2001,80-100,NA,2,63902,5286.920361633116
2001,100+,NA,1,714250,14297.584930439718
2001,100+,NA,2,162858,8216.95416326402
2001,NA,NA,1,374,266.4505059548083
2001,NA,NA,2,409,289.2764158996262
2002,0-30,NA,1,73524,5491.919348403525
2002,0-30,NA,2,120416,7867.1755751281835
2002,30-50,NA,1,97620,6310.167987888276
2002,30-50,NA,2,100471,7584.910114360393
2002,50-80,NA,1,189859,8505.716950956825
2002,50-80,NA,2,132011,8225.382267000383
2002,80-100,NA,1,132121,6455.899570898761
2002,80-100,NA,2,61046,5601.012565278123
2002,100+,NA,1,734210,15648.13848259835
2002,100+,NA,2,162640,8897.975336838674
2003,0-30,NA,1,88144,5840.7344961222825
2003,0-30,NA,2,126456,7756.834797723387
2003,30-50,NA,1,111691,6234.524317190502
2003,30-50,NA,2,96753,6604.531395504464
2003,50-80,NA,1,179586,7811.814183994927
2003,50-80,NA,2,125067,7698.4359452352855
2003,80-100,NA,1,139635,7004.475286428794
2003,80-100,NA,2,56383,4928.022541692609
2003,100+,NA,1,762668,15560.223234614843
2003,100+,NA,2,133701,7630.040907066009
2003,NA,NA,1,824,477.93008226564007
2003,NA,NA,2,410,289.9686948960412
2004,0-30,NA,1,76002,5119.432283794104
2004,0-30,NA,2,144788,8518.829246157964
2004,30-50,NA,1,99154,5780.553758795808
2004,30-50,NA,2,107983,7315.448644672658
2004,50-80,NA,1,192343,8026.535217266257
2004,50-80,NA,2,129423,7829.029296223408
2004,80-100,NA,1,135625,6402.302105397842
2004,80-100,NA,2,70976,5793.2876661870205
2004,100+,NA,1,764227,15078.231707060808
2004,100+,NA,2,128199,7358.470755834455
2004,NA,NA,1,1268,815.4987735807376
2004,NA,NA,2,250,185.6069716494775
2005,0-30,1,1,2522,498.21948230151634
2005,0-30,1,2,5465,955.0807539758631
2005,0-30,2,1,8395,1086.6307343694466
2005,0-30,2,2,11616,1689.9108854122035
2005,0-30,3,1,56161,3039.9596422378904
2005,0-30,3,2,110974,4792.022049740527
2005,0-30,4,1,3720,530.713511994089
2005,0-30,4,2,4062,780.1746586059724
2005,30-50,1,1,5016,802.2309421932104
2005,30-50,1,2,5951,1110.9588400461369
2005,30-50,2,1,10147,1281.747596478136
2005,30-50,2,2,8391,1410.9783773942197
2005,30-50,3,1,73722,3216.2399184592045
2005,30-50,3,2,92286,4558.707410960873
2005,30-50,4,1,6492,774.2046682367691
2005,30-50,4,2,5799,973.1229761421741
2005,50-80,1,1,11522,1237.699632648704
2005,50-80,1,2,5744,997.5242325876279
2005,50-80,2,1,18595,1542.9392366068773
2005,50-80,2,2,9482,1447.0069010846457
2005,50-80,3,1,154315,4667.169615500381
2005,50-80,3,2,108726,4562.799387024238
2005,50-80,4,1,9882,1013.4922850031547
2005,50-80,4,2,4952,931.1240968586352
2005,80-100,1,1,7418,961.1698901016838
2005,80-100,1,2,3375,822.616015841674
2005,80-100,2,1,10658,1044.3596788224138
2005,80-100,2,2,4243,838.2236465481877
2005,80-100,3,1,107742,3544.312113994974
2005,80-100,3,2,55651,3283.0688914345355
2005,80-100,4,1,7365,917.0887953183969
2005,80-100,4,2,3326,756.668041974232
2005,100+,1,1,40444,2315.8823884045737
2005,100+,1,2,7073,1115.073285609096
2005,100+,2,1,59807,3141.0817913327014
2005,100+,2,2,14165,1881.3779706131106
2005,100+,3,1,599926,8684.28836382326
2005,100+,3,2,110435,4880.904165812042
2005,100+,4,1,37278,2046.4085323349466
2005,100+,4,2,9176,1305.555379289562
2005,NA,2,1,153,110.98188774565463
2005,NA,3,1,352,159.74923270266666
2005,NA,3,2,400,335.01031524152916
2005,NA,4,1,20,19.999999999999492
2006,0-30,1,1,3701,732.1233268903827
2006,0-30,1,2,4327,838.729722107246
2006,0-30,2,1,7401,916.7261697964407
2006,0-30,2,2,8803,1214.994598615646
2006,0-30,3,1,57595,2628.397506218166
2006,0-30,3,2,120387,4580.332033720854
2006,0-30,4,1,4428,652.7544639174878
2006,0-30,4,2,4187,686.2589365246884
2006,30-50,1,1,5396,744.5851017118772
2006,30-50,1,2,3542,791.8875380330668
2006,30-50,2,1,9651,1108.5253100108473
2006,30-50,2,2,7627,1262.364433656878
2006,30-50,3,1,71739,2958.1563113838815
