year,mfi,30% Income Limit,50% Income Limit,80% Income Limit,100% Income Limit
2000,54900,16470,27450,43920,54900
2001,57700,17310,28850,46160,57700
2002,61500,18450,30750,49200,61500
2003,62200,18660,31100,49760,62200
2004,63500,19050,31750,50800,63500
2005,65400,19620,32700,52320,65400
2006,65400,19620,32700,52320,65400
2007,66000,19800,33000,52800,66000
2008,67900,20370,33950,54320,67900
2009,71000,21300,35500,56800,71000
2010,71000,21300,35500,56800,71000
2011,73100,21930,36550,58480,73100
2012,74100,22230,37050,59280,74100
2013,72100,21630,36050,57680,72100
2014,71900,21570,35950,57520,71900
2015,74800,22440,37400,59840,74800
2016,73900,22170,36950,59120,73900
2017,77800,23340,38900,62240,77800
2018,82600,24780,41300,66080,82600
2019,85800,25740,42900,68640,85800
2020,90200,27060,45100,72160,90200
2021,93000,27900,46500,74400,93000
2022,105800,31740,52900,84640,105800
2023,114500,34350,57250,91600,114500
2024,116400,34920,58200,93120,116400
2025,124600,37380,62300,99680,124600
