year,region,mfi,mfi_se
2005,1,53000,1655.4062898623115
2005,2,55200,1592.6498466493356
2005,3,65200,612.1846320232986
2005,4,41000,1503.379727433335
2006,1,60000,2394.9740115033064
2006,2,58000,1579.9883313365897
2006,3,67100,714.2168986068687
2006,4,47500,1625.6849440689953
2007,1,64030,2062.8320425188726
2007,2,63000,3083.4763530187574
2007,3,69700,612.1867159286692
2007,4,51900,1936.5719934024162
2008,1,65500,2228.503112275178
2008,2,62500,2125.4133490459017
2008,3,73000,790.7410485214779
2008,4,50000,1884.5756718808382
2009,1,65300,2317.6380145561434
2009,2,62000,1580.12284553969
2009,3,73000,765.233944370015
2009,4,48200,2336.587767188733
2010,1,64000,2368.3067247331924
2010,2,62000,2166.335747293818
2010,3,70800,637.695333011977
2010,4,50000,1758.280056161713
2011,1,65000,2903.1521056620068
2011,2,60000,2625.19907414092
2011,3,71000,765.2326650981652
2011,4,49000,2077.0772633665115
2012,1,57000,2267.4950332870435
2012,2,66000,2547.817122765707
2012,3,75000,714.2214463985144
2012,4,49000,1936.4761913022883
2013,1,55490,2292.831182247518
2013,2,67500,3059.28275905469
2013,3,76000,765.2394467068807
2013,4,48500,2649.946267122745
2014,1,67100,2878.905327891239
2014,2,70500,3261.0655869625225
2014,3,79000,765.2404475116739
2014,4,50100,2012.9352082875612
2015,1,66000,2445.686594397352
2015,2,68000,2624.172275481619
2015,3,82000,1020.0682878539546
2015,4,58000,3337.749600543708
2016,1,68704,2402.4916066049454
2016,2,73000,2981.224683107827
2016,3,84240,739.735307038676
2016,4,55000,2140.438097341869
2017,1,66000,2292.8899646812706
2017,2,77000,2726.156984660813
2017,3,89100,816.261680640518
2017,4,54000,2479.1599498320766
2018,1,73000,2624.0773987711823
2018,2,74400,3182.1934532235427
2018,3,92240,1096.8528676660535
2018,4,57700,2267.662850761306
2019,1,77000,2344.0950688637467
2019,2,85000,2930.062977534369
2019,3,100000,765.2487875860315
2019,4,61500,3745.712996686553
2020,1,76020,3107.7250221946974
2020,2,90430,2801.917866973935
2020,3,102900,1198.8657029669353
2020,4,69700,2776.5839085460275
2021,1,80000,3261.2015334584944
2021,2,90000,2802.6905042733424
2021,3,104210,1058.5963883470072
2021,4,72000,2983.755037242184
2022,1,86000,2751.8993293178182
2022,2,93320,3279.4747088757626
2022,3,111000,918.3011634987165
2022,4,75400,2701.078223452653
2023,1,91500,3350.692238937899
2023,2,106320,3261.6690179943052
2023,3,120000,892.7947123693524
2023,4,81800,3542.0782920110582
2024,1,97240,3643.8647135078627
2024,2,105000,4250.380398799642
2024,3,128000,1173.390238315626
2024,4,79000,3797.0189085236075
